full_name,last_name,party,function,role,cabinet,start_date,end_date
Piet Muntendam,Muntendam,PvdA,Staatssecretaris,Sociale Zaken,Drees I,1 april 1950,14 maart 1951
Johannes van Maarseveen,van Maarseveen,KVP,Minister,Justitie,Drees I,15 mei 1950,9 juli 1950
Teun Struycken,Struycken,KVP,Minister,Justitie,Drees I,10 juli 1950,14 maart 1951
Hans s' Jacob,s' Jacob,Partijloos,Minister,Oorlog,Drees I,16 oktober 1950,14 maart 1951
Hans s' Jacob,s' Jacob,Partijloos,Minister,Marine,Drees I,16 oktober 1950,14 maart 1951
Harry Moorman,Moorman,KVP,Staatssecretaris,Oorlog,Drees I,23 oktober 1950,14 maart 1951
Guus Albregts,Albregts,KVP,Minister,"Middenstand, publiekrechtelijke bedrijfsorganisatie en productiviteitsbevordering",Drees II,15 maart 1951,1 september 1952
Nico Blom,Blom,Partijloos,Staatssecretaris,Buitenlandse Zaken,Drees II,15 maart 1951,1 september 1952
Jo Cals,Cals,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",Drees II,15 maart 1951,1 september 1952
Willem Drees,Drees,PvdA,Minister,Minister-president,Drees II,15 maart 1951,1 september 1952
Willem Drees,Drees,PvdA,Minister,Algemene Zaken,Drees II,15 maart 1951,1 september 1952
Willem Drees,Drees,PvdA,Minister,Uniezaken en Overzeese Rijksdelen,Drees II,15 maart 1951,29 maart 1951
Lubbert Götzen,Götzen,ARP,Staatssecretaris,Uniezaken en Overzeese Rijksdelen,Drees II,15 maart 1951,1 september 1952
Dolf Joekes,Joekes,PvdA,Minister,Sociale Zaken,Drees II,15 maart 1951,14 september 1951
Piet Lieftinck,Lieftinck,PvdA,Minister,Financiën,Drees II,15 maart 1951,30 juni 1952
Sicco Mansholt,Mansholt,PvdA,Minister,"Landbouw, Visserij en Voedselvoorziening",Drees II,15 maart 1951,1 september 1952
Harry Moorman,Moorman,KVP,Staatssecretaris,Oorlog,Drees II,15 maart 1951,1 september 1952
Harry Moorman,Moorman,KVP,Staatssecretaris,Marine,Drees II,15 maart 1951,1 september 1952
Henk Mulderije,Mulderije,CHU,Minister,Justitie,Drees II,15 maart 1951,1 september 1952
Piet Muntendam,Muntendam,PvdA,Staatssecretaris,Sociale Zaken,Drees II,15 maart 1951,14 september 1951
Theo Rutten,Rutten,KVP,Minister,"Onderwijs, Kunsten en Wetenschappen",Drees II,15 maart 1951,1 september 1952
Kees Staf,Staf,CHU,Minister,Oorlog,Drees II,15 maart 1951,1 september 1952
Kees Staf,Staf,CHU,Minister,Marine,Drees II,15 maart 1951,1 september 1952
Dirk Stikker,Stikker,VVD,Minister,Buitenlandse Zaken,Drees II,15 maart 1951,1 september 1952
Frans Teulings,Teulings,KVP,Minister,Bescherming bevolking en burgerlijke verdediging,Drees II,15 maart 1951,1 september 1952
Henk Wemmers,Wemmers,Partijloos,Minister,Verkeer en Waterstaat,Drees II,15 maart 1951,1 september 1952
Joris in 't Veld,in 't Veld,PvdA,Minister,Wederopbouw en Volkshuisvesting,Drees II,15 maart 1951,1 september 1952
Johannes van Maarseveen,van Maarseveen,KVP,Minister,Binnenlandse Zaken,Drees II,15 maart 1951,17 november 1951
Aat van Rhijn,van Rhijn,PvdA,Staatssecretaris,Sociale Zaken,Drees II,15 maart 1951,14 september 1951
Jan van den Brink,van den Brink,KVP,Minister,Economische Zaken,Drees II,15 maart 1951,1 september 1952
Leo Peters,Peters,KVP,Minister,Uniezaken en Overzeese Rijksdelen,Drees II,30 maart 1951,1 september 1952
Ferdinand Kranenburg,Kranenburg,PvdA,Staatssecretaris,Oorlog,Drees II,1 juni 1951,1 september 1952
Dolf Joekes,Joekes,PvdA,Minister,Sociale Zaken en Volksgezondheid,Drees II,15 september 1951,1 september 1952
Piet Muntendam,Muntendam,PvdA,Staatssecretaris,Sociale Zaken en Volksgezondheid,Drees II,15 september 1951,1 september 1952
Aat van Rhijn,van Rhijn,PvdA,Staatssecretaris,Sociale Zaken en Volksgezondheid,Drees II,15 september 1951,1 september 1952
Frans Teulings,Teulings,KVP,Minister,Binnenlandse Zaken,Drees II,21 november 1951,5 december 1951
Louis Beel,Beel,KVP,Minister,Binnenlandse Zaken,Drees II,6 december 1951,1 september 1952
Willem Drees,Drees,PvdA,Minister,Financiën,Drees II,1 juli 1952,1 september 1952
Jacob Algera,Algera,ARP,Minister,Verkeer en Waterstaat,Drees III,2 september 1952,12 oktober 1956
Louis Beel,Beel,KVP,Minister,Binnenlandse Zaken,Drees III,2 september 1952,6 juli 1956
Louis Beel,Beel,KVP,Minister,Maatschappelijk Werk,Drees III,2 september 1952,8 september 1952
Wim Beyen,Beyen,Partijloos,Minister,Buitenlandse Zaken,Drees III,2 september 1952,12 oktober 1956
Jo Cals,Cals,KVP,Minister,"Onderwijs, Kunsten en Wetenschappen",Drees III,2 september 1952,12 oktober 1956
Leen Donker,Donker,PvdA,Minister,Justitie,Drees III,2 september 1952,3 februari 1956
Willem Drees,Drees,PvdA,Minister,Minister-president,Drees III,2 september 1952,12 oktober 1956
Willem Drees,Drees,PvdA,Minister,Algemene Zaken,Drees III,2 september 1952,12 oktober 1956
Willem Kernkamp,Kernkamp,CHU,Minister,Uniezaken en Overzeese Rijksdelen,Drees III,2 september 1952,31 december 1952
Ferdinand Kranenburg,Kranenburg,PvdA,Staatssecretaris,Oorlog,Drees III,2 september 1952,12 oktober 1956
Joseph Luns,Luns,KVP,Minister,Buitenlandse Zaken,Drees III,2 september 1952,12 oktober 1956
Sicco Mansholt,Mansholt,PvdA,Minister,"Landbouw, Visserij en Voedselvoorziening",Drees III,2 september 1952,12 oktober 1956
Harry Moorman,Moorman,KVP,Staatssecretaris,Marine,Drees III,2 september 1952,12 oktober 1956
Piet Muntendam,Muntendam,PvdA,Staatssecretaris,Sociale Zaken en Volksgezondheid,Drees III,2 september 1952,30 september 1953
Kees Staf,Staf,CHU,Minister,Marine,Drees III,2 september 1952,12 oktober 1956
Ko Suurhoff,Suurhoff,PvdA,Minister,Sociale Zaken en Volksgezondheid,Drees III,2 september 1952,12 oktober 1956
Herman Witte,Witte,KVP,Minister,Wederopbouw en Volkshuisvesting,Drees III,2 september 1952,12 oktober 1956
Jelle Zijlstra,Zijlstra,ARP,Minister,Economische Zaken,Drees III,2 september 1952,12 oktober 1956
Adrianus de Bruijn,de Bruijn,KVP,Minister,Publiekrechtelijke Bedrijfsorganisatie,Drees III,2 september 1952,12 oktober 1956
Aat van Rhijn,van Rhijn,PvdA,Staatssecretaris,Sociale Zaken en Volksgezondheid,Drees III,2 september 1952,12 oktober 1956
Jo van de Kieft,van de Kieft,PvdA,Minister,Financiën,Drees III,2 september 1952,12 oktober 1956
Frans-Joseph van Thiel,van Thiel,KVP,Minister,Maatschappelijk Werk,Drees III,9 september 1952,12 oktober 1956
Gerard Veldkamp,Veldkamp,KVP,Staatssecretaris,Economische Zaken,Drees III,10 oktober 1952,12 oktober 1956
Willem Kernkamp,Kernkamp,CHU,Minister,Overzeese Rijksdelen,Drees III,1 januari 1953,17 juli 1956
Anna de Waal,de Waal,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",Drees III,2 februari 1953,12 oktober 1956
Wim van den Berge,van den Berge,Partijloos,Staatssecretaris,Financiën,Drees III,2 februari 1953,12 oktober 1956
Louis Beel,Beel,KVP,Minister,Justitie,Drees III,4 februari 1956,14 februari 1956
Julius van Oven,van Oven,PvdA,Minister,Justitie,Drees III,15 februari 1956,12 oktober 1956
Julius van Oven,van Oven,PvdA,Minister,Binnenlandse Zaken,Drees III,7 juli 1956,12 oktober 1956
Kees Staf,Staf,CHU,Minister,Overzeese Rijksdelen,Drees III,18 juli 1956,12 oktober 1956
Kees Staf,CHU,Minister,Oorlog,2 september 1952,Drees III,12 oktober 1956,
Jacob Algera,Algera,ARP,Minister,Verkeer en Waterstaat,Drees IV,13 oktober 1956,9 oktober 1958
Jo Cals,Cals,KVP,Minister,"Onderwijs, Kunsten en Wetenschappen",Drees IV,13 oktober 1956,21 december 1958
Willem Drees,Drees,PvdA,Minister,Minister-president,Drees IV,13 oktober 1956,21 december 1958
Willem Drees,Drees,PvdA,Minister,Algemene Zaken,Drees IV,13 oktober 1956,21 december 1958
Henk Hofstra,Hofstra,PvdA,Minister,Financiën,Drees IV,13 oktober 1956,21 december 1958
Marga Klompé,Klompé,KVP,Minister,Maatschappelijk Werk,Drees IV,13 oktober 1956,21 december 1958
Ferdinand Kranenburg,Kranenburg,PvdA,Staatssecretaris,Oorlog,Drees IV,13 oktober 1956,31 mei 1958
Joseph Luns,Luns,KVP,Minister,Buitenlandse Zaken,Drees IV,13 oktober 1956,21 december 1958
Sicco Mansholt,Mansholt,PvdA,Minister,"Landbouw, Visserij en Voedselvoorziening",Drees IV,13 oktober 1956,31 december 1957
Harry Moorman,Moorman,KVP,Staatssecretaris,Marine,Drees IV,13 oktober 1956,21 december 1958
Ivo Samkalden,Samkalden,PvdA,Minister,Justitie,Drees IV,13 oktober 1956,21 december 1958
Kees Staf,Staf,CHU,Minister,Oorlog,Drees IV,13 oktober 1956,21 december 1958
Kees Staf,Staf,CHU,Minister,Marine,Drees IV,13 oktober 1956,21 december 1958
Kees Staf,Staf,CHU,Minister,Overzeese Rijksdelen,Drees IV,13 oktober 1956,15 februari 1957
Ko Suurhoff,Suurhoff,PvdA,Minister,Binnenlandse Zaken,Drees IV,13 oktober 1956,28 oktober 1956
Ko Suurhoff,Suurhoff,PvdA,Minister,Sociale Zaken en Volksgezondheid,Drees IV,13 oktober 1956,21 december 1958
Gerard Veldkamp,Veldkamp,KVP,Staatssecretaris,Economische Zaken,Drees IV,13 oktober 1956,21 december 1958
Herman Witte,Witte,KVP,Minister,Volkshuisvesting en Bouwnijverheid,Drees IV,13 oktober 1956,21 december 1958
Jelle Zijlstra,Zijlstra,ARP,Minister,Economische Zaken,Drees IV,13 oktober 1956,21 december 1958
Anna de Waal,de Waal,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",Drees IV,13 oktober 1956,15 maart 1957
Aat van Rhijn,van Rhijn,PvdA,Staatssecretaris,Sociale Zaken en Volksgezondheid,Drees IV,13 oktober 1956,21 december 1958
Norbert Schmelzer,Schmelzer,KVP,Staatssecretaris,"Binnenlandse Zaken, Bezitsvorming en Publiekrechtelijke Bedrijfsorganisatie",Drees IV,29 oktober 1956,21 december 1958
Teun Struycken,Struycken,KVP,Minister,Viceminister-president,Drees IV,29 oktober 1956,21 december 1958
Teun Struycken,Struycken,KVP,Minister,"Binnenlandse Zaken, Bezitsvorming en Publiekrechtelijke Bedrijfsorganisatie",Drees IV,29 oktober 1956,21 december 1958
René Höppener,Höppener,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",Drees IV,12 november 1956,21 december 1958
Ernst van der Beugel,van der Beugel,PvdA,Staatssecretaris,Buitenlandse Zaken,Drees IV,8 januari 1957,21 december 1958
Gerard Helders,Helders,CHU,Minister,Zaken Overzee,Drees IV,16 februari 1957,21 december 1958
Kees Staf,Staf,CHU,Minister,"Landbouw, Visserij en Voedselvoorziening",Drees IV,1 januari 1958,20 januari 1958
Anne Vondeling,Vondeling,PvdA,Minister,"Landbouw, Visserij en Voedselvoorziening",Drees IV,31 januari 1958,21 december 1958
Herman Witte,Witte,KVP,Minister,Verkeer en Waterstaat,Drees IV,10 oktober 1958,31 oktober 1958
Meine van Veen,van Veen,PvdA,Staatssecretaris,Oorlog,Drees IV,25 oktober 1958,21 december 1958
Jan van Aartsen,van Aartsen,ARP,Minister,Verkeer en Waterstaat,Drees IV,1 november 1958,21 december 1958
Louis Beel,Beel,KVP,Minister,Minister-president,Beel II,22 december 1958,18 mei 1959
Louis Beel,Beel,KVP,Minister,Algemene Zaken,Beel II,22 december 1958,18 mei 1959
Louis Beel,Beel,KVP,Minister,Sociale Zaken en Volksgezondheid,Beel II,22 december 1958,18 mei 1959
Jo Cals,Cals,KVP,Minister,"Onderwijs, Kunsten en Wetenschappen",Beel II,22 december 1958,18 mei 1959
Gerard Helders,Helders,CHU,Minister,Zaken Overzee,Beel II,22 december 1958,18 mei 1959
René Höppener,Höppener,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",Beel II,22 december 1958,18 mei 1959
Marga Klompé,Klompé,KVP,Minister,Maatschappelijk Werk,Beel II,22 december 1958,18 mei 1959
Joseph Luns,Luns,KVP,Minister,Buitenlandse Zaken,Beel II,22 december 1958,18 mei 1959
Harry Moorman,Moorman,KVP,Staatssecretaris,Marine,Beel II,22 december 1958,18 mei 1959
Norbert Schmelzer,Schmelzer,KVP,Staatssecretaris,"Binnenlandse Zaken, Bezitsvorming en Publiekrechtelijke Bedrijfsorganisatie",Beel II,22 december 1958,18 mei 1959
Kees Staf,Staf,CHU,Minister,Oorlog,Beel II,22 december 1958,18 mei 1959
Kees Staf,Staf,CHU,Minister,Marine,Beel II,22 december 1958,18 mei 1959
Kees Staf,Staf,CHU,Minister,"Landbouw, Visserij en Voedselvoorziening",Beel II,22 december 1958,18 mei 1959
Teun Struycken,Struycken,KVP,Minister,Viceminister-president,Beel II,22 december 1958,18 mei 1959
Teun Struycken,Struycken,KVP,Minister,Justitie,Beel II,22 december 1958,18 mei 1959
Teun Struycken,Struycken,KVP,Minister,"Binnenlandse Zaken, Bezitsvorming en Publiekrechtelijke Bedrijfsorganisatie",Beel II,22 december 1958,18 mei 1959
