full_name,last_name,party,start_date,end_date
Mona Keijzer,Keijzer,CDA,20 september 2012,25 oktober 2017
Mona Keijzer,Keijzer,BBB,6 december 2023,2 juli 2024
Simone Kerseboom,Kerseboom,FVD,31 maart 2021,16 augustus 2022
Simone Kerseboom,Kerseboom,FVD,28 maart 2023,5 december 2023
John Kerstens,Kerstens,PvdA,20 september 2012,22 maart 2017
John Kerstens,Kerstens,PvdA,5 juni 2018,30 maart 2021
Arend Kisteman,Kisteman,VVD,6 december 2023,
Jesse Klaver,Klaver,GL,17 juni 2010,5 december 2023
Jesse Klaver,Klaver,GL-PvdA,31 maart 2021,
Norbert Klein,Klein,Lid-Klein,13 november 2014,22 maart 2017
Norbert Klein,Klein,50PLUS/Klein,3 juni 2014,12 november 2014
Norbert Klein,Klein,50+,20 september 2012,2 juni 2014
Reinette Klever,Klever,PVV,20 september 2012,22 maart 2017
Jetta Klijnsma,Klijnsma,PvdA,17 juni 2010,4 november 2012
Jan Klink,Klink,VVD,2 juni 2021,5 december 2023
Ab Klink,Klink,CDA,17 juni 2010,6 september 2010
Raymond Knops,Knops,CDA,1 maart 2007,19 september 2012
Raymond Knops,Knops,CDA,23 maart 2017,25 oktober 2017
Raymond Knops,Knops,CDA,31 maart 2021,2 februari 2023
Marieke Koekkoek,Koekkoek,Volt,5 juli 2023,
Marieke Koekkoek,Koekkoek,Volt,31 maart 2021,14 maart 2023
Bert Koenders,Koenders,PvdA,30 november 2006,21 februari 2007
Daniel Koerhuis,Koerhuis,VVD,23 maart 2017,5 december 2023
Nine Kooiman,Kooiman,SP,17 juni 2010,29 maart 2018
Wouter Koolmees,Koolmees,D66,17 juni 2010,25 oktober 2017
Sven Koopmans,Koopmans,VVD,23 maart 2017,30 maart 2021
Ger Koopmans,Koopmans,CDA,30 november 2006,19 september 2012
Willem Koops,Koops,NSC,3 december 2024,
Ad Koppejan,Koppejan,CDA,30 november 2006,19 september 2012
Alexander Kops,Kops,PVV,23 maart 2017,
Jules Kortenhorst,Kortenhorst,CDA,30 november 2006,23 januari 2008
Roland Kortenhorst,Kortenhorst,CDA,30 november 2006,3 september 2008
Wim Kortenoeven,Kortenoeven,GrKH,17 juni 2010,19 september 2012
Ines Kostić,Kostić,PvdD,6 december 2023,
Fatma Koşer Kaya,Koşer Kaya,D66,30 november 2006,19 september 2012
Margot Kraneveldt,Kraneveldt,PvdA,10 april 2012,7 mei 2012
Margot Kraneveldt,Kraneveldt,PvdA,1 maart 2007,16 juni 2010
Henk Krol,Krol,50+,20 september 2012,3 oktober 2013
Henk Krol,Krol,Groep Krol/van Kooten-Arissen,3 mei 2020,5 augustus 2020
Henk Krol,Krol,50+,13 november 2014,3 mei 2020
Henk Krol,Krol,Fractie-50PLUS/Baay,10 september 2014,12 november 2014
Henk Krol,Krol,Krol,5 augustus 2020,30 maart 2021
Harmen Krul,Krul,CDA,7 februari 2023,
Suzanne Kröger,Kröger,GL,27 oktober 2021,5 december 2023
Suzanne Kröger,Kröger,GL-PvdA,27 oktober 2021,
Suzanne Kröger,Kröger,GL,23 maart 2017,30 maart 2021
Anne Kuik,Kuik,CDA,23 augustus 2022,5 december 2023
Anne Kuik,Kuik,CDA,23 maart 2017,3 mei 2022
Attje Kuiken,Kuiken,PvdA,30 november 2006,19 januari 2010
Attje Kuiken,Kuiken,PvdA,10 mei 2010,5 december 2023
Attje Kuiken,Kuiken,GL-PvdA,31 maart 2021,5 december 2023
Tunahan Kuzu,Kuzu,Groep-Kuzu/Öztürk,14 november 2014,22 maart 2017
Tunahan Kuzu,Kuzu,PvdA,20 september 2012,13 november 2014
Tunahan Kuzu,Kuzu,DENK,23 maart 2017,5 december 2023
Peter Kwint,Kwint,SP,23 maart 2017,5 december 2023
Antoinette Laan-Geselschap,Laan-Geselschap,VVD,31 oktober 2017,30 maart 2021
Saskia Laaper,Laaper,PvdA,19 januari 2010,10 mei 2010
Esmah Lahlah,Lahlah,GL-PvdA,6 december 2023,
Marianne Langkamp,Langkamp,SP,30 november 2006,16 juni 2010
Cem Laçin,Laçin,SP,23 maart 2017,30 maart 2021
René Leegte,Leegte,VVD,26 oktober 2010,23 maart 2015
Henk Leenders,Leenders,PvdA,10 september 2014,22 maart 2017
Henk Leenders,Leenders,PvdA,3 september 2013,11 december 2013
John Leerdam,Leerdam,PvdA,29 februari 2012,4 april 2012
John Leerdam,Leerdam,PvdA,30 november 2006,16 juni 2010
Renske Leijten,Leijten,SP,30 november 2006,5 februari 2014
Renske Leijten,Leijten,SP,14 mei 2014,4 juli 2023
Paul Lempens,Lempens,SP,30 november 2006,16 juni 2010
Patricia Linhard,Linhard,PvdA,12 mei 2009,16 juni 2010
Pieter Litjens,Litjens,VVD,20 september 2012,24 juni 2014
Helma Lodders,Lodders,VVD,17 juni 2010,30 maart 2021
Anne-Wil Lucas,Lucas,VVD,20 september 2012,6 september 2016
Anne-Wil Lucas-Smeerdijk,Lucas-Smeerdijk,VVD,17 juni 2010,19 september 2012
Eric Lucassen,Lucassen,PVV,17 juni 2010,19 september 2012
Fons Luijben,Luijben,SP,30 november 2006,16 juni 2010
Senna Maatoug,Maatoug,GL-PvdA,31 maart 2021,18 december 2024
Senna Maatoug,Maatoug,GL,31 maart 2021,5 december 2023
Barry Madlener,Madlener,PVV,30 november 2006,14 juli 2009
Barry Madlener,Madlener,PVV,20 september 2012,2 juli 2024
