full_name,last_name,party,start_date,end_date
Ard van der Steur,van der Steur,VVD,17 juni 2010,19 maart 2015
Eelke van der Veen,van der Veen,PvdA,30 november 2006,16 juni 2010
Eeke van der Veen,van der Veen,PvdA,17 juni 2010,19 september 2012
Martine van der Velde,van der Velde,PVV,6 december 2023,
Rien van der Velde,van der Velde,PvdA,25 oktober 2016,22 maart 2017
Bas van der Vlies,van der Vlies,SGP,30 november 2006,16 juni 2010
Christianne van der Wal,van der Wal,VVD,6 december 2023,
Hanneke van der Werf,van der Werf,D66,31 maart 2021,1 oktober 2023
Hanneke van der Werf,van der Werf,D66,29 maart 2024,
Hanneke van der Werf,van der Werf,D66,6 december 2023,7 december 2023
Marieke van der Werf,van der Werf,CDA,11 januari 2011,19 september 2012
Hatte van der Woude,van der Woude,VVD,31 maart 2021,5 december 2023
Yasemin Çegerek,Çegerek,SP,12 december 2013,22 maart 2017
Yasemin Çegerek,Çegerek,SP,18 juni 2013,21 augustus 2013
Metin Çelik,Çelik,PvdA,17 juni 2010,19 september 2012
Coskun Çörüz,Çörüz,CDA,30 november 2006,28 februari 2012
Zihni Özdil,Özdil,GL,23 maart 2017,4 juni 2019
Selçuk Öztürk,Öztürk,Groep-Kuzu/Öztürk,14 november 2014,22 maart 2017
Selçuk Öztürk,Öztürk,PvdA,8 november 2012,13 november 2014
Selçuk Öztürk,Öztürk,DENK,23 maart 2017,30 maart 2021
Nevin Özütok,Özütok,GL,23 maart 2017,30 maart 2021
Emre Ünver,Ünver,PvdA,14 december 2016,14 februari 2017
